Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway
ACURA MDX,3.5,6,SemiAuto-6,4,Gasoline,CA,BHNXT03.7M19,SUV,6.0,16,21.0,18,3,No
ACURA MDX,3.5,6,SemiAuto-6,4,Gasoline,FA,BHNXT03.7M19,SUV,5.0,16,21.0,18,3,No
ACURA RDX,2.3,4,SemiAuto-5,2,Gasoline,CA,BHNXT02.3X19,SUV,6.0,19,24.0,21,4,No
ACURA RDX,2.3,4,SemiAuto-5,4,Gasoline,CA,BHNXT02.3X19,SUV,6.0,17,22.0,19,3,No
ACURA RDX,2.3,4,SemiAuto-5,2,Gasoline,FA,BHNXT02.3X19,SUV,5.0,19,24.0,21,4,No
ACURA RDX,2.3,4,SemiAuto-5,4,Gasoline,FA,BHNXT02.3X19,SUV,5.0,17,22.0,19,3,No
ACURA RL,3.7,6,SemiAuto-6,4,Gasoline,CA,BHNXV03.7PB9,midsize car,6.0,17,24.0,20,4,No
ACURA RL,3.7,6,SemiAuto-6,4,Gasoline,FA,BHNXV03.7PB9,midsize car,5.0,17,24.0,20,4,No
ACURA TL,3.5,6,SemiAuto-5,2,Gasoline,CA,BHNXV03.5EB9,midsize car,6.0,18,26.0,21,4,No
ACURA TL,3.7,6,SemiAuto-5,4,Gasoline,CA,BHNXV03.74B9,midsize car,6.0,17,25.0,20,4,No
ACURA TL,3.7,6,Man-6,4,Gasoline,CA,BHNXV03.74B9,midsize car,6.0,17,25.0,20,4,No
ACURA TL,3.5,6,SemiAuto-5,2,Gasoline,FA,BHNXV03.5EB9,midsize car,5.0,18,26.0,21,4,No
ACURA TL,3.7,6,SemiAuto-5,4,Gasoline,FA,BHNXV03.74B9,midsize car,5.0,17,25.0,20,4,No
ACURA TL,3.7,6,Man-6,4,Gasoline,FA,BHNXV03.74B9,midsize car,5.0,17,25.0,20,4,No
ACURA TSX,2.4,4,Man-6,2,Gasoline,CA,BHNXV02.4DB9,small car,6.0,21,29.0,24,5,No
ACURA TSX,2.4,4,SemiAuto-5,2,Gasoline,CA,BHNXV02.4DB9,small car,6.0,22,31.0,26,6,Yes
ACURA TSX,3.5,6,SemiAuto-5,2,Gasoline,CA,BHNXV03.5EB9,small car,6.0,19,28.0,23,5,No
ACURA TSX,2.4,4,Man-6,2,Gasoline,FA,BHNXV02.4DB9,small car,5.0,21,29.0,24,5,No
ACURA TSX,2.4,4,SemiAuto-5,2,Gasoline,FA,BHNXV02.4DB9,small car,5.0,22,31.0,26,6,No
ACURA TSX,3.5,6,SemiAuto-5,2,Gasoline,FA,BHNXV03.5EB9,small car,5.0,19,28.0,23,5,No
ACURA TSX Wagon,2.4,4,SemiAuto-5,2,Gasoline,CA,BHNXV02.4DB9,station wagon,6.0,22,30.0,25,6,Yes
ACURA TSX Wagon,2.4,4,SemiAuto-5,2,Gasoline,FA,BHNXV02.4DB9,station wagon,5.0,22,30.0,25,6,No
ACURA ZDX,3.7,6,SemiAuto-6,4,Gasoline,CA,BHNXV03.7PB9,SUV,6.0,16,23.0,19,3,No
ACURA ZDX,3.7,6,SemiAuto-6,4,Gasoline,FA,BHNXV03.7PB9,SUV,5.0,16,23.0,19,3,No
ASTON MARTIN DB9,5.9,12,Man-6,2,Gasoline,FA,BASXV05.9VH1,small car,5.0,11,17.0,13,1,No
ASTON MARTIN DB9,5.9,12,SemiAuto-6,2,Gasoline,FA,BASXV05.9VH1,small car,5.0,13,20.0,15,1,No
ASTON MARTIN DB9,5.9,12,Man-6,2,Gasoline,CA,BASXV05.9VH1,small car,5.0,11,17.0,13,1,No
ASTON MARTIN DB9,5.9,12,SemiAuto-6,2,Gasoline,CA,BASXV05.9VH1,small car,5.0,13,20.0,15,1,No
ASTON MARTIN DBS,5.9,12,Man-6,2,Gasoline,FA,BASXV05.9VH1,small car,5.0,11,17.0,13,1,No
ASTON MARTIN DBS,5.9,12,SemiAuto-6,2,Gasoline,FA,BASXV05.9VH1,small car,5.0,12,18.0,14,1,No
ASTON MARTIN DBS,5.9,12,Man-6,2,Gasoline,CA,BASXV05.9VH1,small car,5.0,11,17.0,13,1,No
ASTON MARTIN DBS,5.9,12,SemiAuto-6,2,Gasoline,CA,BASXV05.9VH1,small car,5.0,12,18.0,14,1,No
ASTON MARTIN Rapide,5.9,12,SemiAuto-6,2,Gasoline,FA,BASXV05.9VH1,small car,5.0,13,19.0,15,1,No
ASTON MARTIN Rapide,5.9,12,SemiAuto-6,2,Gasoline,CA,BASXV05.9VH1,small car,5.0,13,19.0,15,1,No
ASTON MARTIN V12 Vantage,5.9,12,Man-6,2,Gasoline,FA,BASXV05.9VH1,small car,5.0,11,17.0,13,1,No
ASTON MARTIN V12 Vantage,5.9,12,Man-6,2,Gasoline,CA,BASXV05.9VH1,small car,5.0,11,17.0,13,1,No
ASTON MARTIN V8 Vantage,4.7,8,Man-6,2,Gasoline,FA,BASXV04.7VH2,small car,5.0,13,19.0,15,1,No
ASTON MARTIN V8 Vantage,4.7,8,AutoMan-6,2,Gasoline,FA,BASXV04.7VH2,small car,5.0,14,20.0,16,1,No
ASTON MARTIN V8 Vantage,4.7,8,Man-6,2,Gasoline,CA,BASXV04.7VH2,small car,5.0,13,19.0,15,1,No
ASTON MARTIN V8 Vantage,4.7,8,AutoMan-6,2,Gasoline,CA,BASXV04.7VH2,small car,5.0,14,20.0,16,1,No
ASTON MARTIN V8 Vantage S,4.7,8,AutoMan-7,2,Gasoline,FA,BASXV04.7VH2,small car,5.0,14,21.0,16,1,No
ASTON MARTIN V8 Vantage S,4.7,8,AutoMan-7,2,Gasoline,CA,BASXV04.7VH2,small car,5.0,14,21.0,16,1,No
AUDI A3,2.0,4,Man-6,2,Gasoline,CA,BADXV02.03PA,station wagon,9.0,21,30.0,24,5,No
AUDI A3,2.0,4,SemiAuto-6,2,Gasoline,CA,BADXV02.03PA,station wagon,9.0,22,28.0,24,5,No
AUDI A3,2.0,4,Man-6,2,Gasoline,FA,BADXV02.03PA,station wagon,7.0,21,30.0,24,5,No
AUDI A3,2.0,4,SemiAuto-6,2,Gasoline,FA,BADXV02.03PA,station wagon,7.0,22,28.0,24,5,No
AUDI A3,2.0,4,SemiAuto-6,4,Gasoline,CA,BADXV02.03UA,station wagon,6.0,21,28.0,24,5,No
AUDI A3,2.0,4,Man-6,2,Gasoline,CA,BADXV02.03UA,station wagon,6.0,21,30.0,24,5,No
AUDI A3,2.0,4,SemiAuto-6,2,Diesel,CA,BVWXV02.0U5N,station wagon,4.0,29,37.0,32,4,Yes
AUDI A3,2.0,4,SemiAuto-6,2,Diesel,FA,BVWXV02.0U5N,station wagon,4.0,29,37.0,32,4,Yes
AUDI A3,2.0,4,SemiAuto-6,2,Gasoline,CA,BADXV02.03UA,station wagon,6.0,22,28.0,24,5,No
AUDI A3,2.0,4,SemiAuto-6,4,Gasoline,FA,BADXV02.03UA,station wagon,5.0,21,28.0,24,5,No
AUDI A3,2.0,4,Man-6,2,Gasoline,FA,BADXV02.03UA,station wagon,5.0,21,30.0,24,5,No
AUDI A3,2.0,4,SemiAuto-6,2,Gasoline,FA,BADXV02.03UA,station wagon,5.0,22,28.0,24,5,No
AUDI A4,2.0,4,SemiAuto-8,4,Gasoline,CA,BADXJ02.03UB,small car,6.0,21,29.0,24,5,No
AUDI A4,2.0,4,Man-6,4,Gasoline,CA,BADXJ02.03UB,small car,6.0,21,31.0,25,6,Yes
AUDI A4,2.0,4,CVT,2,Gasoline,CA,BADXJ02.03UB,small car,6.0,22,30.0,25,6,Yes
AUDI A4,2.0,4,SemiAuto-8,4,Gasoline,FA,BADXJ02.03UB,small car,5.0,21,29.0,24,5,No
AUDI A4,2.0,4,Man-6,4,Gasoline,FA,BADXJ02.03UB,small car,5.0,21,31.0,25,6,No
AUDI A4,2.0,4,CVT,2,Gasoline,FA,BADXJ02.03UB,small car,5.0,22,30.0,25,6,No
