Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway
ACURA ILX,1.5,4,SCV-7,2,Gasoline,FC,DHNXV01.5WF2,small car,7.0,39,38.0,38,9,Yes
ACURA ILX,1.5,4,SCV-7,2,Gasoline,FA,DHNXV01.5YD2,small car,8.0,39,38.0,38,9,Yes
ACURA ILX,1.5,4,SCV-7,2,Gasoline,CA,DHNXV01.5YD2,small car,9.0,39,38.0,38,9,Yes
ACURA ILX,2.0,4,SemiAuto-5,2,Gasoline,FA,DHNXV02.0CB2,small car,5.0,24,35.0,28,7,No
ACURA ILX,2.0,4,SemiAuto-5,2,Gasoline,CA,DHNXV02.0CB2,small car,6.0,24,35.0,28,7,Yes
ACURA ILX,2.4,4,Man-6,2,Gasoline,FA,DHNXV02.4MB3,small car,5.0,22,31.0,25,6,No
ACURA ILX,2.4,4,Man-6,2,Gasoline,CA,DHNXV02.4MB3,small car,6.0,22,31.0,25,6,No
ACURA MDX,3.7,6,SemiAuto-6,4,Gasoline,FA,DHNXT03.7R14,small SUV,5.0,16,21.0,18,4,No
ACURA MDX,3.7,6,SemiAuto-6,4,Gasoline,CA,DHNXT03.7R14,small SUV,6.0,16,21.0,18,4,No
ACURA RDX,3.5,6,SemiAuto-6,4,Gasoline,FA,DHNXT03.5H13,small SUV,5.0,19,27.0,22,5,No
ACURA RDX,3.5,6,SemiAuto-6,4,Gasoline,CA,DHNXT03.5H13,small SUV,6.0,19,27.0,22,5,No
ACURA RDX,3.5,6,SemiAuto-6,2,Gasoline,FA,DHNXT03.5H13,small SUV,5.0,20,28.0,23,6,No
ACURA RDX,3.5,6,SemiAuto-6,2,Gasoline,CA,DHNXT03.5H13,small SUV,6.0,20,28.0,23,6,No
ACURA TL,3.5,6,SemiAuto-6,2,Gasoline,FA,DHNXV03.5GB4,midsize car,5.0,20,29.0,23,6,No
ACURA TL,3.5,6,SemiAuto-6,2,Gasoline,CA,DHNXV03.5GB4,midsize car,6.0,20,29.0,23,6,No
ACURA TL,3.7,6,Man-6,4,Gasoline,FA,DHNXV03.7KB3,midsize car,5.0,17,25.0,20,5,No
ACURA TL,3.7,6,Man-6,4,Gasoline,CA,DHNXV03.7KB3,midsize car,6.0,17,25.0,20,5,No
ACURA TL,3.7,6,SemiAuto-6,4,Gasoline,FA,DHNXV03.7KB3,midsize car,5.0,18,26.0,21,5,No
ACURA TL,3.7,6,SemiAuto-6,4,Gasoline,CA,DHNXV03.7KB3,midsize car,6.0,18,26.0,21,5,No
ACURA TSX,2.4,4,Man-6,2,Gasoline,FA,DHNXV02.4DB3,small car,5.0,21,29.0,24,6,No
ACURA TSX,2.4,4,Man-6,2,Gasoline,CA,DHNXV02.4DB3,small car,6.0,21,29.0,24,6,No
ACURA TSX,2.4,4,SemiAuto-5,2,Gasoline,FA,DHNXV02.4DB3,small car,5.0,22,31.0,26,7,No
ACURA TSX,2.4,4,SemiAuto-5,2,Gasoline,CA,DHNXV02.4DB3,small car,6.0,22,31.0,26,7,Yes
ACURA TSX,3.5,6,SemiAuto-5,2,Gasoline,FA,DHNXV03.5GB4,small car,5.0,19,28.0,23,6,No
ACURA TSX,3.5,6,SemiAuto-5,2,Gasoline,CA,DHNXV03.5GB4,small car,6.0,19,28.0,23,6,No
ACURA TSX Wagon,2.4,4,SemiAuto-5,2,Gasoline,FA,DHNXV02.4DB3,station wagon,5.0,22,30.0,25,6,No
ACURA TSX Wagon,2.4,4,SemiAuto-5,2,Gasoline,CA,DHNXV02.4DB3,station wagon,6.0,22,30.0,25,6,No
ACURA ZDX,3.7,6,SemiAuto-6,4,Gasoline,FA,DHNXV03.7TB4,small SUV,5.0,16,23.0,19,4,No
ACURA ZDX,3.7,6,SemiAuto-6,4,Gasoline,CA,DHNXV03.7TB4,small SUV,6.0,16,23.0,19,4,No
ASTON MARTIN DB9,5.9,12,SemiAuto-6,2,Gasoline,FA,DASXV05.9VH1,small car,5.0,13,19.0,15,3,No
ASTON MARTIN DB9,5.9,12,SemiAuto-6,2,Gasoline,CA,DASXV05.9VH1,small car,5.0,13,19.0,15,3,No
ASTON MARTIN V8 Vantage,4.7,8,AutoMan-7,2,Gasoline,FA,DASXV04.7VH2,small car,5.0,14,21.0,16,3,No
ASTON MARTIN V8 Vantage,4.7,8,AutoMan-7,2,Gasoline,CA,DASXV04.7VH2,small car,5.0,14,21.0,16,3,No
ASTON MARTIN V8 Vantage,4.7,8,Man-6,2,Gasoline,FA,DASXV04.7VH2,small car,5.0,13,19.0,15,3,No
ASTON MARTIN V8 Vantage,4.7,8,Man-6,2,Gasoline,CA,DASXV04.7VH2,small car,5.0,13,19.0,15,3,No
ASTON MARTIN V8 Vantage S,4.7,8,AutoMan-7,2,Gasoline,FA,DASXV04.7VH2,small car,5.0,14,21.0,16,3,No
ASTON MARTIN V8 Vantage S,4.7,8,AutoMan-7,2,Gasoline,CA,DASXV04.7VH2,small car,5.0,14,21.0,16,3,No
ASTON MARTIN V8 Vantage S,4.7,8,Man-6,2,Gasoline,FA,DASXV04.7VH2,small car,5.0,13,19.0,15,3,No
ASTON MARTIN V8 Vantage S,4.7,8,Man-6,2,Gasoline,CA,DASXV04.7VH2,small car,5.0,13,19.0,15,3,No
