Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway
ACURA MDX,3.7,6,Auto-S5,4,Gasoline,CA,9HNXT03.7H29,SUV,7.0,15,20.0,17,3,No
ACURA MDX,3.7,6,Auto-S5,4,Gasoline,FA,9HNXT03.7H29,SUV,6.0,15,20.0,17,3,No
ACURA RDX,2.3,4,Auto-S5,4,Gasoline,CA,9HNXT02.3R29,SUV,7.0,17,22.0,19,4,No
ACURA RDX,2.3,4,Auto-S5,4,Gasoline,FA,9HNXT02.3R29,SUV,6.0,17,22.0,19,4,No
ACURA RL,3.7,6,Auto-S5,4,Gasoline,CA,9HNXV03.7FB9,midsize car,7.0,16,22.0,18,4,No
ACURA RL,3.7,6,Auto-S5,4,Gasoline,FA,9HNXV03.7FB9,midsize car,6.0,16,22.0,18,4,No
ACURA TL,3.5,6,Auto-S5,2,Gasoline,CA,9HNXV03.56B9,midsize car,7.0,18,26.0,21,5,No
ACURA TL,3.7,6,Auto-S5,4,Gasoline,CA,9HNXV03.7KB9,midsize car,7.0,17,25.0,20,5,No
ACURA TL,3.5,6,Auto-S5,2,Gasoline,FA,9HNXV03.56B9,midsize car,6.0,18,26.0,21,5,No
ACURA TL,3.7,6,Auto-S5,4,Gasoline,FA,9HNXV03.7KB9,midsize car,6.0,17,25.0,20,5,No
ACURA TSX,2.4,4,Man-6,2,Gasoline,CA,9HNXV02.44B9,small car,7.0,20,28.0,23,6,Yes
ACURA TSX,2.4,4,Auto-S5,2,Gasoline,CA,9HNXV02.44B9,small car,7.0,21,30.0,25,7,Yes
ACURA TSX,2.4,4,Man-6,2,Gasoline,FA,9HNXV02.44B9,small car,6.0,20,28.0,23,6,No
ACURA TSX,2.4,4,Auto-S5,2,Gasoline,FA,9HNXV02.44B9,small car,6.0,21,30.0,25,7,Yes
ALFA ROMEO 8C Spider,4.7,8,Auto-6,2,Gasoline,FA,9FTGV04.7LEV,small car,6.0,11,16.0,13,0,No
ALFA ROMEO 8C Spider,4.7,8,Auto-6,2,Gasoline,CA,9FTGV04.7LEV,small car,6.0,11,16.0,13,0,No
ASTON MARTIN DB9,5.9,12,Man-6,2,Gasoline,FA,9ASXV05.9VH1,small car,6.0,11,17.0,13,0,No
ASTON MARTIN DB9,5.9,12,Auto-S6,2,Gasoline,FA,9ASXV05.9VH1,small car,6.0,12,19.0,14,1,No
ASTON MARTIN DB9,5.9,12,Man-6,2,Gasoline,CA,9ASXV05.9VH1,small car,6.0,11,17.0,13,0,No
ASTON MARTIN DB9,5.9,12,Auto-S6,2,Gasoline,CA,9ASXV05.9VH1,small car,6.0,12,19.0,14,1,No
ASTON MARTIN DBS Coupe,5.9,12,Man-6,2,Gasoline,FA,9ASXV05.9VH1,small car,6.0,11,17.0,13,0,No
ASTON MARTIN DBS Coupe,5.9,12,Auto-S6,2,Gasoline,FA,9ASXV05.9VH1,small car,6.0,12,18.0,14,1,No
ASTON MARTIN DBS Coupe,5.9,12,Man-6,2,Gasoline,CA,9ASXV05.9VH1,small car,6.0,11,17.0,13,0,No
ASTON MARTIN DBS Coupe,5.9,12,Auto-S6,2,Gasoline,CA,9ASXV05.9VH1,small car,6.0,12,18.0,14,1,No
ASTON MARTIN V8 Vantage,4.7,8,Man-6,2,Gasoline,FA,9ASXV04.7VH2,small car,6.0,12,19.0,14,1,No
ASTON MARTIN V8 Vantage,4.7,8,Auto-S6,2,Gasoline,FA,9ASXV04.7VH2,small car,6.0,13,19.0,15,2,No
ASTON MARTIN V8 Vantage,4.7,8,Man-6,2,Gasoline,CA,9ASXV04.7VH2,small car,6.0,12,19.0,14,1,No
ASTON MARTIN V8 Vantage,4.7,8,Auto-S6,2,Gasoline,CA,9ASXV04.7VH2,small car,6.0,13,19.0,15,2,No
AUDI A3,2.0,4,Man-6,2,Gasoline,CA,9ADXV02.03PA,station wagon,9.5,21,30.0,24,7,Yes
AUDI A3,2.0,4,Auto-S6,2,Gasoline,CA,9ADXV02.03PA,station wagon,9.5,22,28.0,24,7,Yes
AUDI A3,2.0,4,Man-6,2,Gasoline,FA,9ADXV02.03PA,station wagon,9.0,21,30.0,24,7,Yes
AUDI A3,2.0,4,Auto-S6,2,Gasoline,FA,9ADXV02.03PA,station wagon,9.0,22,28.0,24,7,Yes
AUDI A3,2.0,4,Auto-S6,4,Gasoline,CA,9ADXV02.03UA,station wagon,7.0,21,28.0,24,7,Yes
AUDI A3,2.0,4,Man-6,2,Gasoline,CA,9ADXV02.03UA,station wagon,7.0,21,30.0,24,7,Yes
AUDI A3,2.0,4,Auto-S6,2,Gasoline,CA,9ADXV02.03UA,station wagon,7.0,22,28.0,24,7,Yes
AUDI A3,2.0,4,Auto-S6,4,Gasoline,FA,9ADXV02.03UA,station wagon,6.0,21,28.0,24,7,Yes
