Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway
ACURA ILX,2.4,4,AMS-8,2,Gasoline,CA,HHNXV02.4SH3,small car,6.0,25,35.0,29,7,Yes
ACURA ILX,2.4,4,AMS-8,2,Gasoline,FA,HHNXV02.4SH3,small car,6.0,25,35.0,29,7,Yes
ACURA MDX,3.0,6,AMS-7,4,Gasoline,CA,HHNXV03.0HH3,small SUV,6.0,26,27.0,27,6,No
ACURA MDX,3.0,6,AMS-7,4,Gasoline,FA,HHNXV03.0HH3,small SUV,6.0,26,27.0,27,6,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,CA,HHNXV03.5VH3,small SUV,6.0,19,27.0,22,5,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,CA,HHNXV03.5VH3,small SUV,6.0,20,27.0,23,5,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,FA,HHNXV03.5VH3,small SUV,6.0,19,27.0,22,5,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,FA,HHNXV03.5VH3,small SUV,6.0,20,27.0,23,5,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,CA,HHNXV03.5VH3,small SUV,6.0,18,26.0,21,4,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,CA,HHNXV03.5VH3,small SUV,6.0,19,26.0,22,5,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,FA,HHNXV03.5VH3,small SUV,6.0,18,26.0,21,4,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,FA,HHNXV03.5VH3,small SUV,6.0,19,26.0,22,5,No
ACURA NSX,3.5,6,AMS-9,4,Gasoline,CA,HHNXV03.5KH4,small car,6.0,21,22.0,21,4,No
ACURA NSX,3.5,6,AMS-9,4,Gasoline,FA,HHNXV03.5KH4,small car,6.0,21,22.0,21,4,No
ACURA RDX,3.5,6,SemiAuto-6,2,Gasoline,FA,HHNXT03.5EV3,small SUV,6.0,20,28.0,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,2,Gasoline,CA,HHNXT03.5EV3,small SUV,6.0,20,28.0,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,4,Gasoline,FA,HHNXT03.5EV3,small SUV,6.0,19,27.0,22,5,No
ACURA RDX,3.5,6,SemiAuto-6,4,Gasoline,CA,HHNXT03.5EV3,small SUV,6.0,19,27.0,22,5,No
ACURA RLX,3.5,6,AMS-7,4,Gasoline,CA,HHNXV03.5LK3,midsize car,8.0,29,30.0,29,7,Yes
ACURA RLX,3.5,6,AMS-7,4,Gasoline,FA,HHNXV03.5LK3,midsize car,8.0,29,30.0,29,7,Yes
ACURA RLX,3.5,6,SemiAuto-6,2,Gasoline,FA,HHNXV03.5NA4,midsize car,6.0,20,30.0,23,5,No
ACURA RLX,3.5,6,SemiAuto-6,2,Gasoline,CA,HHNXV03.5NA4,midsize car,6.0,20,30.0,23,5,No
ACURA TLX,2.4,4,AMS-8,2,Gasoline,FA,HHNXV02.4TA3,small car,6.0,24,35.0,28,6,No
ACURA TLX,2.4,4,AMS-8,2,Gasoline,CA,HHNXV02.4TA3,small car,6.0,24,35.0,28,6,No
ACURA TLX,3.5,6,SemiAuto-9,2,Gasoline,FA,HHNXV03.5MA3,small car,6.0,21,34.0,25,5,No
ACURA TLX,3.5,6,SemiAuto-9,2,Gasoline,CA,HHNXV03.5MA3,small car,6.0,21,34.0,25,5,No
ACURA TLX,3.5,6,SemiAuto-9,4,Gasoline,FA,HHNXV03.5MA3,small car,6.0,21,31.0,25,5,No
ACURA TLX,3.5,6,SemiAuto-9,4,Gasoline,CA,HHNXV03.5MA3,small car,6.0,21,31.0,25,5,No
ALFA ROMEO 4C,1.8,4,AutoMan-6,2,Gasoline,CA,HCRXV01.85P0,small car,5.0,24,34.0,28,6,No
ALFA ROMEO 4C,1.8,4,AutoMan-6,2,Gasoline,FA,HCRXV01.85P0,small car,5.0,24,34.0,28,6,No
ALFA ROMEO Giulia,2.0,4,Auto-8,2,Gasoline,CA,HCRXJ02.05P0,midsize car,6.0,24,33.0,27,6,No
ALFA ROMEO Giulia,2.0,4,Auto-8,2,Gasoline,FA,HCRXJ02.05P0,midsize car,6.0,24,33.0,27,6,No
ALFA ROMEO Giulia,2.9,6,Auto-8,2,Gasoline,CA,HCRXV02.95P0,midsize car,6.0,17,24.0,20,4,No
ALFA ROMEO Giulia,2.9,6,Auto-8,2,Gasoline,FA,HCRXV02.95P0,midsize car,6.0,17,24.0,20,4,No
ALFA ROMEO Giulia AWD,2.0,4,Auto-8,4,Gasoline,CA,HCRXJ02.05P0,midsize car,6.0,23,31.0,26,6,No
ALFA ROMEO Giulia AWD,2.0,4,Auto-8,4,Gasoline,FA,HCRXJ02.05P0,midsize car,6.0,23,31.0,26,6,No
ASTON MARTIN Rapide S,6.0,12,SemiAuto-8,2,Gasoline,FA,HASXV06.0VHB,small car,6.0,14,21.0,17,3,No
ASTON MARTIN Rapide S,6.0,12,SemiAuto-8,2,Gasoline,CA,HASXV06.0VHB,small car,6.0,14,21.0,17,3,No
ASTON MARTIN V12 Vantage S,6.0,12,AutoMan-7,2,Gasoline,FA,HASXV06.0VHB,small car,6.0,12,18.0,14,1,No
ASTON MARTIN V12 Vantage S,6.0,12,AutoMan-7,2,Gasoline,CA,HASXV06.0VHB,small car,6.0,12,18.0,14,1,No
ASTON MARTIN V12 Vantage S,6.0,12,Man-7,2,Gasoline,FA,HASXV06.0VHB,small car,6.0,10,16.0,12,1,No
ASTON MARTIN V12 Vantage S,6.0,12,Man-7,2,Gasoline,CA,HASXV06.0VHB,small car,6.0,10,16.0,12,1,No
"ASTON MARTIN Vanquish, S and Zagato",6.0,12,SemiAuto-8,2,Gasoline,FA,HASXV06.0VHB,small car,6.0,13,21.0,16,2,No
"ASTON MARTIN Vanquish, S and Zagato",6.0,12,SemiAuto-8,2,Gasoline,CA,HASXV06.0VHB,small car,6.0,13,21.0,16,2,No
AUDI A3,2.0,4,AMS-6,4,Gasoline,CA,HVGAV02.0APA,small car,9.0,24,31.0,27,6,No
AUDI A3,2.0,4,AMS-6,4,Gasoline,FA,HVGAV02.0APA,small car,8.0,24,31.0,27,6,No
AUDI A3,2.0,4,AMS-7,2,Gasoline,CA,HVGAV02.0A3A,small car,8.0,26,35.0,29,7,Yes
AUDI A3,2.0,4,AMS-7,2,Gasoline,FA,HVGAV02.0A3A,small car,8.0,26,35.0,29,7,Yes
AUDI A3 Cabriolet,2.0,4,AMS-6,4,Gasoline,CA,HVGAV02.0APA,small car,9.0,22,30.0,25,5,No
AUDI A3 Cabriolet,2.0,4,AMS-6,4,Gasoline,FA,HVGAV02.0APA,small car,8.0,22,30.0,25,5,No
AUDI A3 Cabriolet,2.0,4,AMS-7,2,Gasoline,CA,HVGAV02.0A3A,small car,8.0,25,34.0,28,6,No
AUDI A3 Cabriolet,2.0,4,AMS-7,2,Gasoline,FA,HVGAV02.0A3A,small car,8.0,25,34.0,28,6,No
