Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway
ACURA ILX,2.4,4,AutoMan-8,2,Gasoline,FA,GHNXV02.4XH3,small car,5.0,25,36.0,29,7,No
ACURA ILX,2.4,4,AutoMan-8,2,Gasoline,CA,GHNXV02.4XH3,small car,6.0,25,36.0,29,7,Yes
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,FA,GHNXV03.5VA3,small SUV,5.0,19,27.0,22,5,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,FA,GHNXV03.5VA3,small SUV,5.0,20,27.0,23,5,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,CA,GHNXV03.5VA3,small SUV,6.0,19,27.0,22,5,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,CA,GHNXV03.5VA3,small SUV,6.0,20,27.0,23,5,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,FA,GHNXV03.5VA3,small SUV,5.0,18,26.0,21,5,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,FA,GHNXV03.5VA3,small SUV,5.0,19,26.0,22,5,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,CA,GHNXV03.5VA3,small SUV,6.0,18,26.0,21,5,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,CA,GHNXV03.5VA3,small SUV,6.0,19,26.0,22,5,No
ACURA RDX,3.5,6,SemiAuto-6,2,Gasoline,FA,GHNXT03.5GV3,small SUV,5.0,20,29.0,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,2,Gasoline,CA,GHNXT03.5GV3,small SUV,6.0,20,29.0,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,4,Gasoline,FA,GHNXT03.5GV3,small SUV,5.0,19,28.0,22,5,No
ACURA RDX,3.5,6,SemiAuto-6,4,Gasoline,CA,GHNXT03.5GV3,small SUV,6.0,19,28.0,22,5,No
ACURA RLX,3.5,6,AutoMan-7,4,Gasoline,FA,GHNXV03.5PK3,midsize car,7.0,28,32.0,30,7,Yes
ACURA RLX,3.5,6,AutoMan-7,4,Gasoline,CA,GHNXV03.5PK3,midsize car,8.0,28,32.0,30,7,Yes
ACURA RLX,3.5,6,SemiAuto-6,2,Gasoline,FA,GHNXV03.5SA4,midsize car,5.0,20,31.0,24,5,No
ACURA RLX,3.5,6,SemiAuto-6,2,Gasoline,CA,GHNXV03.5SA4,midsize car,6.0,20,31.0,24,5,No
ACURA TLX,2.4,4,AMS-8,2,Gasoline,FA,GHNXJ02.41A3,small car,5.0,24,35.0,28,7,No
ACURA TLX,2.4,4,AMS-8,2,Gasoline,CA,GHNXJ02.41A3,small car,6.0,24,35.0,28,7,Yes
ACURA TLX,3.5,6,SemiAuto-9,2,Gasoline,FA,GHNXV03.5RA3,small car,5.0,21,34.0,25,6,No
ACURA TLX,3.5,6,SemiAuto-9,2,Gasoline,CA,GHNXV03.5RA3,small car,6.0,21,34.0,25,6,No
ACURA TLX,3.5,6,SemiAuto-9,4,Gasoline,FA,GHNXV03.5RA3,small car,5.0,21,31.0,25,6,No
ACURA TLX,3.5,6,SemiAuto-9,4,Gasoline,CA,GHNXV03.5RA3,small car,6.0,21,31.0,25,6,No
ALFA ROMEO 4C,1.8,4,AutoMan-6,2,Gasoline,FA,GCRXV01.85P0,small car,5.0,24,34.0,28,7,No
ALFA ROMEO 4C,1.8,4,AutoMan-6,2,Gasoline,CA,GCRXV01.85P0,small car,5.0,24,34.0,28,7,No
