Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway
ACURA MDX,3.7,6,Auto-S5,4,Gasoline,CA,8HNXT03.7PKR,SUV,7.0,15,20.0,17,4,No
ACURA MDX,3.7,6,Auto-S5,4,Gasoline,FA,8HNXT03.7PKR,SUV,6.0,15,20.0,17,4,No
ACURA RDX,2.3,4,Auto-S5,4,Gasoline,CA,8HNXT02.3DKR,SUV,7.0,17,22.0,19,5,No
ACURA RDX,2.3,4,Auto-S5,4,Gasoline,FA,8HNXT02.3DKR,SUV,6.0,17,22.0,19,5,No
ACURA RL,3.5,6,Auto-S5,4,Gasoline,CA,8HNXV03.5HKR,midsize car,7.0,16,24.0,19,5,No
ACURA RL,3.5,6,Auto-S5,4,Gasoline,FA,8HNXV03.5HKR,midsize car,6.0,16,24.0,19,5,No
ACURA TL,3.2,6,Auto-S5,2,Gasoline,CA,8HNXV03.5HKR,midsize car,7.0,18,26.0,21,6,Yes
ACURA TL,3.5,6,Auto-S5,2,Gasoline,CA,8HNXV03.5RKR,midsize car,7.0,17,26.0,20,6,Yes
ACURA TL,3.5,6,Man-6,2,Gasoline,CA,8HNXV03.5RKR,midsize car,7.0,18,27.0,21,6,Yes
ACURA TL,3.2,6,Auto-S5,2,Gasoline,FA,8HNXV03.5HKR,midsize car,6.0,18,26.0,21,6,No
ACURA TL,3.5,6,Auto-S5,2,Gasoline,FA,8HNXV03.5RKR,midsize car,6.0,17,26.0,20,6,No
ACURA TL,3.5,6,Man-6,2,Gasoline,FA,8HNXV03.5RKR,midsize car,6.0,18,27.0,21,6,No
ACURA TSX,2.4,4,Man-6,2,Gasoline,FA,8HNXV02.4FKC,small car,6.0,19,28.0,22,6,No
ACURA TSX,2.4,4,Auto-S5,2,Gasoline,FA,8HNXV02.4FKC,small car,6.0,20,28.0,23,7,Yes
ACURA TSX,2.4,4,Man-6,2,Gasoline,CA,8HNXV02.4FKC,small car,6.0,19,28.0,22,6,No
ACURA TSX,2.4,4,Auto-S5,2,Gasoline,CA,8HNXV02.4FKC,small car,6.0,20,28.0,23,7,Yes
ASTON MARTIN DB9,5.9,12,Man-6,2,Gasoline,FA,8ASXV05.9803,small car,6.0,10,16.0,12,0,No
ASTON MARTIN DB9,5.9,12,Auto-S6,2,Gasoline,FA,8ASXV05.9803,small car,6.0,11,18.0,13,1,No
ASTON MARTIN DB9,5.9,12,Man-6,2,Gasoline,CA,8ASXV05.9803,small car,6.0,10,16.0,12,0,No
ASTON MARTIN DB9,5.9,12,Auto-S6,2,Gasoline,CA,8ASXV05.9803,small car,6.0,11,18.0,13,1,No
ASTON MARTIN DB9 Volante,5.9,12,Man-6,2,Gasoline,FA,8ASXV05.9803,small car,6.0,10,16.0,12,0,No
ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2,Gasoline,FA,8ASXV05.9803,small car,6.0,11,17.0,13,1,No
ASTON MARTIN DB9 Volante,5.9,12,Man-6,2,Gasoline,CA,8ASXV05.9803,small car,6.0,10,16.0,12,0,No
ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2,Gasoline,CA,8ASXV05.9803,small car,6.0,11,17.0,13,1,No
ASTON MARTIN V8 Vantage,4.3,8,Man-6,2,Gasoline,FA,8ASXV04.3305,small car,6.0,12,19.0,15,3,No
ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2,Gasoline,FA,8ASXV04.3305,small car,6.0,13,20.0,15,3,No
ASTON MARTIN V8 Vantage,4.3,8,Man-6,2,Gasoline,CA,8ASXV04.3305,small car,6.0,12,19.0,15,3,No
ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2,Gasoline,CA,8ASXV04.3305,small car,6.0,13,20.0,15,3,No
AUDI A3,2.0,4,Man-6,2,Gasoline,CA,8ADXV02.0366,station wagon,7.0,21,29.0,24,7,Yes
AUDI A3,2.0,4,Auto-S6,2,Gasoline,CA,8ADXV02.0366,station wagon,7.0,22,29.0,25,7,Yes
AUDI A3,2.0,4,Man-6,2,Gasoline,FA,8ADXV02.0366,station wagon,6.0,21,29.0,24,7,Yes
AUDI A3,2.0,4,Auto-S6,2,Gasoline,FA,8ADXV02.0366,station wagon,6.0,22,29.0,25,7,Yes
AUDI A3,3.2,6,Auto-S6,4,Gasoline,FA,8VWXV03.2535,station wagon,6.0,18,25.0,21,6,No
AUDI A3,3.2,6,Auto-S6,4,Gasoline,CA,8VWXV03.2535,station wagon,6.0,18,25.0,21,6,No
AUDI A4,2.0,4,Auto-AV,2,Gasoline,CA,8ADXV02.0352,small car,7.0,21,30.0,24,7,Yes
AUDI A4,2.0,4,Auto-AV,2,Gasoline,FA,8ADXV02.0352,small car,6.0,21,30.0,24,7,Yes
AUDI A4,3.1,6,Man-6,4,Gasoline,FA,8ADXV03.1374,small car,6.0,15,25.0,19,5,No
AUDI A4,3.1,6,Auto-S6,4,Gasoline,FA,8ADXV03.1374,small car,6.0,17,25.0,20,6,No
AUDI A4,3.1,6,Auto-AV,2,Gasoline,FA,8ADXV03.1374,small car,6.0,18,27.0,21,6,No
AUDI A4,3.1,6,Man-6,4,Gasoline,CA,8ADXV03.1374,small car,6.0,15,25.0,19,5,No
AUDI A4,3.1,6,Auto-S6,4,Gasoline,CA,8ADXV03.1374,small car,6.0,17,25.0,20,6,No
AUDI A4,3.1,6,Auto-AV,2,Gasoline,CA,8ADXV03.1374,small car,6.0,18,27.0,21,6,No
AUDI A4 Avant,3.1,6,Man-6,4,Gasoline,FA,8ADXV03.1374,station wagon,6.0,15,25.0,19,5,No
AUDI A4 Avant,3.1,6,Auto-S6,4,Gasoline,FA,8ADXV03.1374,station wagon,6.0,17,25.0,20,6,No
AUDI A4 Avant,3.1,6,Man-6,4,Gasoline,CA,8ADXV03.1374,station wagon,6.0,15,25.0,19,5,No
AUDI A4 Avant,3.1,6,Auto-S6,4,Gasoline,CA,8ADXV03.1374,station wagon,6.0,17,25.0,20,6,No
AUDI A4 Cabriolet,3.1,6,Auto-S6,4,Gasoline,FA,8ADXV03.1374,small car,6.0,17,25.0,20,6,No
AUDI A4 Cabriolet,3.1,6,Auto-S6,4,Gasoline,CA,8ADXV03.1374,small car,6.0,17,25.0,20,6,No
AUDI A6,3.1,6,Auto-S6,4,Gasoline,FA,8ADXV03.1374,midsize car,6.0,17,25.0,20,6,No
AUDI A6,3.1,6,Auto-AV,2,Gasoline,FA,8ADXV03.1374,midsize car,6.0,18,27.0,21,6,No
AUDI A6,3.1,6,Auto-S6,4,Gasoline,CA,8ADXV03.1374,midsize car,6.0,17,25.0,20,6,No
