Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway
ACURA ILX,2.0,4,SemiAuto-5,2,Gasoline,FA,FHNXV02.0JA3,small car,5.0,24,35.0,28,7,No
ACURA ILX,2.0,4,SemiAuto-5,2,Gasoline,CA,FHNXV02.0JA3,small car,6.0,24,35.0,28,7,Yes
ACURA ILX,2.4,4,Man-6,2,Gasoline,FA,FHNXV02.4KA3,small car,5.0,22,31.0,25,6,No
ACURA ILX,2.4,4,Man-6,2,Gasoline,CA,FHNXV02.4KA3,small car,6.0,22,31.0,25,6,No
ACURA MDX,3.5,6,SemiAuto-6,4,Gasoline,FA,FHNXV03.5XA4,small SUV,5.0,18,27.0,21,5,No
ACURA MDX,3.5,6,SemiAuto-6,4,Gasoline,CA,FHNXV03.5XA4,small SUV,6.0,18,27.0,21,5,No
ACURA MDX,3.5,6,SemiAuto-6,2,Gasoline,FA,FHNXV03.5XA4,small SUV,5.0,20,28.0,23,5,No
ACURA MDX,3.5,6,SemiAuto-6,2,Gasoline,CA,FHNXV03.5XA4,small SUV,6.0,20,28.0,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,4,Gasoline,FA,FHNXT03.5EV3,small SUV,5.0,19,27.0,22,5,No
ACURA RDX,3.5,6,SemiAuto-6,4,Gasoline,CA,FHNXT03.5EV3,small SUV,6.0,19,27.0,22,5,No
ACURA RDX,3.5,6,SemiAuto-6,2,Gasoline,FA,FHNXT03.5EV3,small SUV,5.0,20,28.0,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,2,Gasoline,CA,FHNXT03.5EV3,small SUV,6.0,20,28.0,23,5,No
ACURA RLX,3.5,6,SemiAuto-6,2,Gasoline,FA,FHNXV03.5XA4,midsize car,5.0,20,31.0,24,6,No
ACURA RLX,3.5,6,SemiAuto-6,2,Gasoline,CA,FHNXV03.5XA4,midsize car,6.0,20,31.0,24,6,No
ACURA TLX,2.4,4,AutoMan-8,2,Gasoline,FA,FHNXJ02.42A3,small car,5.0,24,35.0,28,7,No
ACURA TLX,2.4,4,AutoMan-8,2,Gasoline,CA,FHNXJ02.42A3,small car,6.0,24,35.0,28,7,Yes
ACURA TLX,3.5,6,SemiAuto-9,4,Gasoline,FA,FHNXV03.5WA4,small car,5.0,21,31.0,25,6,No
ACURA TLX,3.5,6,SemiAuto-9,4,Gasoline,CA,FHNXV03.5WA4,small car,6.0,21,31.0,25,6,No
ACURA TLX,3.5,6,SemiAuto-9,2,Gasoline,FA,FHNXV03.5WA4,small car,5.0,21,34.0,25,6,No
ACURA TLX,3.5,6,SemiAuto-9,2,Gasoline,CA,FHNXV03.5WA4,small car,6.0,21,34.0,25,6,No
ALFA ROMEO 4C,1.8,4,AutoMan-6,2,Gasoline,FA,FFTGV01.85P0,small car,5.0,24,34.0,28,7,No
