Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway
ACURA ILX,2.4,4,AMS-8,2,Gasoline,CA,JHNXV02.4NH3,small car,3.0,25,35.0,29,6,No
ACURA ILX,2.4,4,AMS-8,2,Gasoline,FA,JHNXV02.4NH3,small car,3.0,25,35.0,29,6,No
ACURA MDX,3.0,6,AMS-7,4,Gasoline,CA,JHNXV03.08H3,small SUV,3.0,26,27.0,27,6,No
ACURA MDX,3.0,6,AMS-7,4,Gasoline,FA,JHNXV03.08H3,small SUV,3.0,26,27.0,27,6,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,CA,JHNXV03.5RH3,small SUV,3.0,19,27.0,22,4,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,CA,JHNXV03.5RH3,small SUV,3.0,20,27.0,23,5,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,FA,JHNXV03.5RH3,small SUV,3.0,19,27.0,22,4,No
ACURA MDX,3.5,6,SemiAuto-9,2,Gasoline,FA,JHNXV03.5RH3,small SUV,3.0,20,27.0,23,5,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,CA,JHNXV03.5RH3,small SUV,3.0,18,26.0,21,4,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,CA,JHNXV03.5RH3,small SUV,3.0,19,26.0,22,4,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,FA,JHNXV03.5RH3,small SUV,3.0,18,26.0,21,4,No
ACURA MDX,3.5,6,SemiAuto-9,4,Gasoline,FA,JHNXV03.5RH3,small SUV,3.0,19,26.0,22,4,No
ACURA NSX,3.5,6,AMS-9,4,Gasoline,CA,JHNXV03.5CH4,small car,3.0,21,22.0,21,4,No
ACURA NSX,3.5,6,AMS-9,4,Gasoline,FA,JHNXV03.5CH4,small car,3.0,21,22.0,21,4,No
ACURA RDX,3.5,6,SemiAuto-6,2,Gasoline,FA,JHNXT03.5GV3,small SUV,3.0,20,28.0,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,2,Gasoline,CA,JHNXT03.5GV3,small SUV,3.0,20,28.0,23,5,No
ACURA RDX,3.5,6,SemiAuto-6,4,Gasoline,FA,JHNXT03.5GV3,small SUV,3.0,19,27.0,22,4,No
ACURA RDX,3.5,6,SemiAuto-6,4,Gasoline,CA,JHNXT03.5GV3,small SUV,3.0,19,27.0,22,4,No
ACURA RLX,3.5,6,AMS-7,4,Gasoline,CA,JHNXV03.5BK3,midsize car,7.0,28,29.0,28,6,No
ACURA RLX,3.5,6,AMS-7,4,Gasoline,FA,JHNXV03.5BK3,midsize car,7.0,28,29.0,28,6,No
ACURA RLX,3.5,6,SemiAuto-10,2,Gasoline,CA,JHNXV03.5PH4,midsize car,3.0,20,29.0,23,5,No
ACURA RLX,3.5,6,SemiAuto-10,2,Gasoline,FA,JHNXV03.5PH4,midsize car,3.0,20,29.0,23,5,No
ACURA TLX,2.4,4,AMS-8,2,Gasoline,CA,JHNXV02.4WH3,small car,3.0,23,33.0,27,6,No
ACURA TLX,2.4,4,AMS-8,2,Gasoline,FA,JHNXV02.4WH3,small car,3.0,23,33.0,27,6,No
ACURA TLX,3.5,6,SemiAuto-9,2,Gasoline,CA,JHNXV03.5LH3,small car,3.0,20,32.0,24,5,No
ACURA TLX,3.5,6,SemiAuto-9,2,Gasoline,FA,JHNXV03.5LH3,small car,3.0,20,32.0,24,5,No
ACURA TLX,3.5,6,SemiAuto-9,4,Gasoline,CA,JHNXV03.5LH3,small car,3.0,21,30.0,24,5,No
ACURA TLX,3.5,6,SemiAuto-9,4,Gasoline,FA,JHNXV03.5LH3,small car,3.0,21,30.0,24,5,No
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4,Gasoline,CA,JHNXV03.5LH3,small car,3.0,20,29.0,23,5,No
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4,Gasoline,FA,JHNXV03.5LH3,small car,3.0,20,29.0,23,5,No
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2,Gasoline,CA,JHNXV03.5LH3,small car,3.0,20,30.0,23,5,No
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2,Gasoline,FA,JHNXV03.5LH3,small car,3.0,20,30.0,23,5,No
