Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway
ACURA MDX,3.7,6,SemiAuto-6,4,Gasoline,FA,CHNXT03.7R19,SUV,5.0,16,21.0,18,3,No
ACURA MDX,3.7,6,SemiAuto-6,4,Gasoline,CA,CHNXT03.7R19,SUV,6.0,16,21.0,18,3,No
ACURA RDX,2.3,4,SemiAuto-5,4,Gasoline,FA,CHNXT02.3Y19,SUV,5.0,17,22.0,19,3,No
ACURA RDX,2.3,4,SemiAuto-5,4,Gasoline,CA,CHNXT02.3Y19,SUV,6.0,17,22.0,19,3,No
ACURA RDX,2.3,4,SemiAuto-5,2,Gasoline,FA,CHNXT02.3Y19,SUV,5.0,19,24.0,21,4,No
ACURA RDX,2.3,4,SemiAuto-5,2,Gasoline,CA,CHNXT02.3Y19,SUV,6.0,19,24.0,21,4,No
ACURA TL,3.5,6,SemiAuto-6,2,Gasoline,FA,CHNXV03.5EB3,midsize car,5.0,20,29.0,23,5,No
ACURA TL,3.5,6,SemiAuto-6,2,Gasoline,CA,CHNXV03.5EB3,midsize car,6.0,20,29.0,23,5,No
ACURA TL,3.7,6,Man-6,4,Gasoline,FA,CHNXV03.7JB3,midsize car,5.0,17,25.0,20,4,No
ACURA TL,3.7,6,Man-6,4,Gasoline,CA,CHNXV03.7JB3,midsize car,6.0,17,25.0,20,4,No
ACURA TL,3.7,6,SemiAuto-6,4,Gasoline,FA,CHNXV03.7JB3,midsize car,5.0,18,26.0,21,4,No
ACURA TL,3.7,6,SemiAuto-6,4,Gasoline,CA,CHNXV03.7JB3,midsize car,6.0,18,26.0,21,4,No
ACURA TSX,2.4,4,Man-6,2,Gasoline,FA,CHNXV02.4DB9,small car,5.0,21,29.0,24,5,No
ACURA TSX,2.4,4,Man-6,2,Gasoline,CA,CHNXV02.4DB9,small car,6.0,21,29.0,24,5,No
ACURA TSX,2.4,4,SemiAuto-5,2,Gasoline,FA,CHNXV02.4DB9,small car,5.0,22,31.0,26,6,No
ACURA TSX,2.4,4,SemiAuto-5,2,Gasoline,CA,CHNXV02.4DB9,small car,6.0,22,31.0,26,6,Yes
